"","enzyme_gene","class"
"2043","MK13","Mitogen-activated protein kinase"
"2044","MK14","Mitogen-activated protein kinase"
"2045","MK15","Mitogen-activated protein kinase"
"2046","NLK","Mitogen-activated protein kinase"
"2047","M3K10","Mitogen-activated protein kinase kinase kinase"
"2048","M3K11","Mitogen-activated protein kinase kinase kinase"
"2049","M3K12","Mitogen-activated protein kinase kinase kinase"
"2050","M3K13","Mitogen-activated protein kinase kinase kinase"
"2051","M3K14","Mitogen-activated protein kinase kinase kinase"
"2052","M3K15","Mitogen-activated protein kinase kinase kinase"
"2053","M3K1","Mitogen-activated protein kinase kinase kinase"
"2054","M3K20","Mitogen-activated protein kinase kinase kinase"
"2055","M3K21","Mitogen-activated protein kinase kinase kinase"
"2056","M3K2","Mitogen-activated protein kinase kinase kinase"
"2057","M3K3","Mitogen-activated protein kinase kinase kinase"
"2058","M3K4","Mitogen-activated protein kinase kinase kinase"
"2059","M3K5","Mitogen-activated protein kinase kinase kinase"
"2060","M3K6","Mitogen-activated protein kinase kinase kinase"
"2061","M3K7","Mitogen-activated protein kinase kinase kinase"
"2062","M3K8","Mitogen-activated protein kinase kinase kinase"
"2063","M3K9","Mitogen-activated protein kinase kinase kinase"
"2064","AAPK1","[Tau protein] kinase"
"2065","BRSK1","[Tau protein] kinase"
"2066","BRSK2","[Tau protein] kinase"
"2067","GSK3A","[Tau protein] kinase"
"2068","GSK3B","[Tau protein] kinase"
"2069","KC1D","[Tau protein] kinase"
"2070","MARK1","[Tau protein] kinase"
"2071","MARK2","[Tau protein] kinase"
"2072","PHKG1","[Tau protein] kinase"
"2073","AAPK1","[Acetyl-CoA carboxylase] kinase"
"2074","AAPK2","[Acetyl-CoA carboxylase] kinase"
"2075","ACV1B","Receptor protein serine/threonine kinase"
"2076","ACV1C","Receptor protein serine/threonine kinase"
"2077","ACVL1","Receptor protein serine/threonine kinase"
"2078","ACVR1","Receptor protein serine/threonine kinase"
"2079","AMHR2","Receptor protein serine/threonine kinase"
"2080","AVR2A","Receptor protein serine/threonine kinase"
"2081","AVR2B","Receptor protein serine/threonine kinase"
"2082","BMPR2","Receptor protein serine/threonine kinase"
"2083","BMR1A","Receptor protein serine/threonine kinase"
"2084","BMR1B","Receptor protein serine/threonine kinase"
"2085","TGFR1","Receptor protein serine/threonine kinase"
"2086","TGFR2","Receptor protein serine/threonine kinase"
"2087","AAPK1","[Hydroxymethylglutaryl-CoA reductase (NADPH)] kinase"
"2088","AAPK2","[Hydroxymethylglutaryl-CoA reductase (NADPH)] kinase"
"2089","CLK1","Dual-specificity kinase"
"2090","CLK2","Dual-specificity kinase"
"2091","CLK3","Dual-specificity kinase"
"2092","CLK4","Dual-specificity kinase"
"2093","DUSTY","Dual-specificity kinase"
"2094","DYR1A","Dual-specificity kinase"
"2095","DYR1B","Dual-specificity kinase"
"2096","DYRK2","Dual-specificity kinase"
"2097","DYRK3","Dual-specificity kinase"
"2098","DYRK4","Dual-specificity kinase"
"2099","TESK1","Dual-specificity kinase"
"2100","TESK2","Dual-specificity kinase"
"2101","TTK","Dual-specificity kinase"
"2102","MP2K1","Mitogen-activated protein kinase kinase"
"2103","MP2K2","Mitogen-activated protein kinase kinase"
"2104","MP2K3","Mitogen-activated protein kinase kinase"
"2105","MP2K4","Mitogen-activated protein kinase kinase"
"2106","MP2K5","Mitogen-activated protein kinase kinase"
"2107","MP2K6","Mitogen-activated protein kinase kinase"
"2108","MP2K7","Mitogen-activated protein kinase kinase"
"2109","TOPK","Mitogen-activated protein kinase kinase"
"2110","NDKB","Histidine kinase"
"2111","THTR","Thiosulfate sulfurtransferase"
"2112","THTM","3-mercaptopyruvate sulfurtransferase"
"2113","NFS1","Cysteine desulfurase"
"2114","LIAS","Lipoyl synthase"
"2115","MOCOS","Molybdenum cofactor sulfurtransferase"
"2116","MOCS3","Molybdopterin synthase sulfurtransferase"
"2117","MOC2B","Molybdopterin synthase"
"2118","MTU1","tRNA-5-taurinomethyluridine 2-sulfurtransferase"
"2119","ST1A1","Aryl sulfotransferase"
"2120","ST1A2","Aryl sulfotransferase"
"2121","ST1A3","Aryl sulfotransferase"
"2122","ST1A4","Aryl sulfotransferase"
"2123","ST1C3","Alcohol sulfotransferase"
"2124","ST2B1","Alcohol sulfotransferase"
"2125","ST1E1","Estrone sulfotransferase"
"2126","CHSTB","Chondroitin 4-sulfotransferase"
"2127","CHSTC","Chondroitin 4-sulfotransferase"
"2128","CHSTD","Chondroitin 4-sulfotransferase"
"2129","NDST1","[Heparan sulfate]-glucosamine N-sulfotransferase"
"2130","NDST2","[Heparan sulfate]-glucosamine N-sulfotransferase"
"2131","NDST3","[Heparan sulfate]-glucosamine N-sulfotransferase"
"2132","NDST4","[Heparan sulfate]-glucosamine N-sulfotransferase"
"2133","G3ST1","Galactosylceramide sulfotransferase"
"2134","ST2A1","Bile-salt sulfotransferase"
"2135","CHST3","Chondroitin 6-sulfotransferase"
"2136","CHST7","Chondroitin 6-sulfotransferase"
"2137","TPST1","Protein-tyrosine sulfotransferase"
"2138","TPST2","Protein-tyrosine sulfotransferase"
"2139","CHST1","Keratan sulfotransferase"
"2140","HS3S1","[Heparan sulfate]-glucosamine 3-sulfotransferase 1"
"2141","HS3S4","[Heparan sulfate]-glucosamine 3-sulfotransferase 1"
"2142","HS3S5","[Heparan sulfate]-glucosamine 3-sulfotransferase 1"
"2143","HS3S6","[Heparan sulfate]-glucosamine 3-sulfotransferase 1"
"2144","HS3S2","[Heparan sulfate]-glucosamine 3-sulfotransferase 2"
"2145","HS3SA","[Heparan sulfate]-glucosamine 3-sulfotransferase 3"
"2146","HS3SB","[Heparan sulfate]-glucosamine 3-sulfotransferase 3"
"2147","CHSTF","N-acetylgalactosamine 4-sulfate 6-O-sulfotransferase"
"2148","CHSTE","Dermatan 4-sulfotransferase"
"2149","ST6B1","Thyroxine sulfotransferase"
"2150","SCOT1","3-oxoacid CoA-transferase"
"2151","SCOT2","3-oxoacid CoA-transferase"
"2152","SUCHY","Succinate--hydroxymethylglutarate CoA-transferase"
"2153","CDKAL","tRNA (N(6)-L-threonylcarbamoyladenosine(37)-C(2))-methylthiotransferase"
"2154","SPCS","O-phospho-L-seryl-tRNA(Sec):L-selenocysteinyl-tRNA synthase"
"2155","GEPH","Molybdopterin molybdotransferase"
"2156","EST1","Carboxylesterase"
"2157","EST2","Carboxylesterase"
"2158","EST3","Carboxylesterase"
"2159","EST5A","Carboxylesterase"
"2160","PON1","Arylesterase"
"2161","PON2","Arylesterase"
"2162","PON3","Arylesterase"
"2163","AAAD","Triacylglycerol lipase"
"2164","CEL","Triacylglycerol lipase"
"2165","LIPC","Triacylglycerol lipase"
"2166","LIPE","Triacylglycerol lipase"
"2167","LIPG","Triacylglycerol lipase"
"2168","LIPP","Triacylglycerol lipase"
"2169","LIPR2","Triacylglycerol lipase"
"2170","LIPR3","Triacylglycerol lipase"
"2171","PLPL2","Triacylglycerol lipase"
"2172","PLPL3","Triacylglycerol lipase"
"2173","PLPL4","Triacylglycerol lipase"
"2174","ABHD3","Phospholipase A(2)"
"2175","PA216","Phospholipase A(2)"
"2176","PA21B","Phospholipase A(2)"
"2177","PA24A","Phospholipase A(2)"
"2178","PA24B","Phospholipase A(2)"
"2179","PA24C","Phospholipase A(2)"
"2180","PA24D","Phospholipase A(2)"
"2181","PA24E","Phospholipase A(2)"
"2182","PA24F","Phospholipase A(2)"
"2183","PA2G3","Phospholipase A(2)"
"2184","PA2G5","Phospholipase A(2)"
"2185","PA2GA","Phospholipase A(2)"
"2186","PA2GD","Phospholipase A(2)"
"2187","PA2GE","Phospholipase A(2)"
"2188","PA2GF","Phospholipase A(2)"
"2189","PA2GX","Phospholipase A(2)"
"2190","PG12A","Phospholipase A(2)"
"2191","PLB1","Phospholipase A(2)"
"2192","PLPL9","Phospholipase A(2)"
"2193","PRDX6","Phospholipase A(2)"
"2194","TMM8A","Phospholipase A(2)"
"2195","LPP60","Lysophospholipase"
"2196","PA24A","Lysophospholipase"
"2197","PLB1","Lysophospholipase"
"2198","PLPL6","Lysophospholipase"
"2199","PLPL8","Lysophospholipase"
"2200","ACES","Acetylcholinesterase"
"2201","CHLE","Cholinesterase"
"2202","CEL","Sterol esterase"
"2203","LICH","Sterol esterase"
"2204","RGN","Gluconolactonase"
"2205","ABD12","Acylglycerol lipase"
"2206","ABHD2","Acylglycerol lipase"
"2207","ABHD6","Acylglycerol lipase"
"2208","MGLL","Acylglycerol lipase"
"2209","LIPR2","Galactolipase"
"2210","ICT1","Aminoacyl-tRNA hydrolase"
"2211","PTH2","Aminoacyl-tRNA hydrolase"
"2212","PTH","Aminoacyl-tRNA hydrolase"
"2213","PTRD1","Aminoacyl-tRNA hydrolase"
"2214","6PGL","6-phosphogluconolactonase"
"2215","G6PE","6-phosphogluconolactonase"
"2216","ABHD3","Phospholipase A(1)"
"2217","PA216","Phospholipase A(1)"
"2218","LIPL","Lipoprotein lipase"
"2219","LPP60","1-alkyl-2-acetylglycerophosphocholine esterase"
"2220","PA1B2","1-alkyl-2-acetylglycerophosphocholine esterase"
"2221","PA1B3","1-alkyl-2-acetylglycerophosphocholine esterase"
"2222","PAFA2","1-alkyl-2-acetylglycerophosphocholine esterase"
"2223","PAFA","1-alkyl-2-acetylglycerophosphocholine esterase"
"2224","SIAE","Sialate O-acetylesterase"
"2225","EST1","Methylumbelliferyl-acetate deacetylase"
"2226","EST2","Methylumbelliferyl-acetate deacetylase"
"2227","ESTD","Methylumbelliferyl-acetate deacetylase"
"2228","RPE65","Retinoid isomerohydrolase"
"2229","AOAH","Acyloxyacyl hydrolase"
"2230","LIPS","Hormone-sensitive lipase"
"2231","PON1","Quorum-quenching N-acyl-homoserine lactonase"
"2232","PON2","Quorum-quenching N-acyl-homoserine lactonase"
"2233","PON3","Quorum-quenching N-acyl-homoserine lactonase"
"2234","EST2","Cocaine esterase"
"2235","PPME1","Protein phosphatase methylesterase-1"
"2236","ABHDA","Mycophenolic acid acyl-glucuronide esterase"
"2237","DTD1","D-aminoacyl-tRNA deacylase"
"2238","DTD2","D-aminoacyl-tRNA deacylase"
"2239","DPH7","Methylated diphthine methylhydrolase"
"2240","NOTUM","[Wnt protein] O-palmitoleoyl-L-serine hydrolase"
"2241","ACO12","Acetyl-CoA hydrolase"
"2242","ACO15","Palmitoyl-CoA hydrolase"
"2243","ACOT1","Palmitoyl-CoA hydrolase"
"2244","ACOT2","Palmitoyl-CoA hydrolase"
"2245","ACOT4","Palmitoyl-CoA hydrolase"
"2246","BAAT","Palmitoyl-CoA hydrolase"
"2247","BACHL","Palmitoyl-CoA hydrolase"
"2248","BACH","Palmitoyl-CoA hydrolase"
"2249","THEM4","Palmitoyl-CoA hydrolase"
"2250","HIBCH","3-hydroxyisobutyryl-CoA hydrolase"
"2251","GLO2","Hydroxyacylglutathione hydrolase"
"2252","ESTD","S-formylglutathione hydrolase"
"2253","FAS","Oleoyl-[acyl-carrier-protein] hydrolase"
"2254","SAST","Oleoyl-[acyl-carrier-protein] hydrolase"
"2255","AB17A","Palmitoyl-protein hydrolase"
"2256","AB17B","Palmitoyl-protein hydrolase"
"2257","AB17C","Palmitoyl-protein hydrolase"
"2258","PPT1","Palmitoyl-protein hydrolase"
"2259","ACOT8","Choloyl-CoA hydrolase"
"2260","PPB1","Alkaline phosphatase"
"2261","PPBI","Alkaline phosphatase"
"2262","PPBN","Alkaline phosphatase"
"2263","PPBT","Alkaline phosphatase"
"2264","ACP7","Acid phosphatase"
"2265","PPA5","Acid phosphatase"
"2266","PPA6","Acid phosphatase"
"2267","PPAC","Acid phosphatase"
"2268","PPAL","Acid phosphatase"
"2269","PPAP","Acid phosphatase"
"2270","PPAT","Acid phosphatase"
"2271","PLPP","Phosphoserine phosphatase"
"2272","SERB","Phosphoserine phosphatase"
"2273","LPIN1","Phosphatidate phosphatase"
"2274","LPIN2","Phosphatidate phosphatase"
"2275","LPIN3","Phosphatidate phosphatase"
"2276","PLPP1","Phosphatidate phosphatase"
"2277","PLPP2","Phosphatidate phosphatase"
"2278","PLPP3","Phosphatidate phosphatase"
"2279","PLPP4","Phosphatidate phosphatase"
"2280","PLPP5","Phosphatidate phosphatase"
"2281","PLPR2","Phosphatidate phosphatase"
"2282","PLPR3","Phosphatidate phosphatase"
"2283","PLPR4","Phosphatidate phosphatase"
"2284","5NT1A","5'-nucleotidase"
"2285","5NT1B","5'-nucleotidase"
"2286","5NT3A","5'-nucleotidase"
"2287","5NT3B","5'-nucleotidase"
"2288","5NTC","5'-nucleotidase"
"2289","5NTD","5'-nucleotidase"
"2290","PPAP","5'-nucleotidase"
"2291","BPNT1","3'(2'),5'-bisphosphate nucleotidase"
"2292","IMPA3","3'(2'),5'-bisphosphate nucleotidase"
"2293","G6PC2","Glucose-6-phosphatase"
"2294","G6PC3","Glucose-6-phosphatase"
"2295","G6PC","Glucose-6-phosphatase"
"2296","F16P1","Fructose-bisphosphatase"
"2297","F16P2","Fructose-bisphosphatase"
"2298","CC14A","Protein-serine/threonine phosphatase"
"2299","CC14B","Protein-serine/threonine phosphatase"
"2300","CC14C","Protein-serine/threonine phosphatase"
"2301","CDKN3","Protein-serine/threonine phosphatase"
"2302","CNEP1","Protein-serine/threonine phosphatase"
"2303","CPPED","Protein-serine/threonine phosphatase"
"2304","CTDP1","Protein-serine/threonine phosphatase"
"2305","CTDS1","Protein-serine/threonine phosphatase"
"2306","CTDS2","Protein-serine/threonine phosphatase"
"2307","CTDSL","Protein-serine/threonine phosphatase"
"2308","DS13A","Protein-serine/threonine phosphatase"
"2309","DS13B","Protein-serine/threonine phosphatase"
"2310","DUPD1","Protein-serine/threonine phosphatase"
"2311","DUS10","Protein-serine/threonine phosphatase"
"2312","DUS12","Protein-serine/threonine phosphatase"
"2313","DUS14","Protein-serine/threonine phosphatase"
"2314","DUS15","Protein-serine/threonine phosphatase"
"2315","DUS16","Protein-serine/threonine phosphatase"
"2316","DUS18","Protein-serine/threonine phosphatase"
"2317","DUS19","Protein-serine/threonine phosphatase"
"2318","DUS1","Protein-serine/threonine phosphatase"
"2319","DUS21","Protein-serine/threonine phosphatase"
"2320","DUS22","Protein-serine/threonine phosphatase"
"2321","DUS23","Protein-serine/threonine phosphatase"
"2322","DUS26","Protein-serine/threonine phosphatase"
"2323","DUS28","Protein-serine/threonine phosphatase"
"2324","DUS2","Protein-serine/threonine phosphatase"
"2325","DUS3","Protein-serine/threonine phosphatase"
"2326","DUS4","Protein-serine/threonine phosphatase"
"2327","DUS5","Protein-serine/threonine phosphatase"
"2328","DUS6","Protein-serine/threonine phosphatase"
"2329","DUS7","Protein-serine/threonine phosphatase"
"2330","DUS8","Protein-serine/threonine phosphatase"
"2331","DUS9","Protein-serine/threonine phosphatase"
"2332","EPM2A","Protein-serine/threonine phosphatase"
"2333","EYA1","Protein-serine/threonine phosphatase"
"2334","ILKAP","Protein-serine/threonine phosphatase"
"2335","PGAM5","Protein-serine/threonine phosphatase"
"2336","PHLP1","Protein-serine/threonine phosphatase"
"2337","PHLP2","Protein-serine/threonine phosphatase"
"2338","PP1A","Protein-serine/threonine phosphatase"
"2339","PP1B","Protein-serine/threonine phosphatase"
"2340","PP1G","Protein-serine/threonine phosphatase"
"2341","PP2AA","Protein-serine/threonine phosphatase"
"2342","PP2AB","Protein-serine/threonine phosphatase"
"2343","PP2BA","Protein-serine/threonine phosphatase"
"2344","PP2BB","Protein-serine/threonine phosphatase"
"2345","PP2BC","Protein-serine/threonine phosphatase"
"2346","PP4C","Protein-serine/threonine phosphatase"
"2347","PPE1","Protein-serine/threonine phosphatase"
"2348","PPE2","Protein-serine/threonine phosphatase"
"2349","PPM1A","Protein-serine/threonine phosphatase"
"2350","PPM1B","Protein-serine/threonine phosphatase"
"2351","PPM1D","Protein-serine/threonine phosphatase"
"2352","PPM1E","Protein-serine/threonine phosphatase"
"2353","PPM1F","Protein-serine/threonine phosphatase"
"2354","PPM1G","Protein-serine/threonine phosphatase"
"2355","PPM1H","Protein-serine/threonine phosphatase"
"2356","PPM1J","Protein-serine/threonine phosphatase"
"2357","PPM1K","Protein-serine/threonine phosphatase"
"2358","PPM1L","Protein-serine/threonine phosphatase"
"2359","PPM1M","Protein-serine/threonine phosphatase"
"2360","PPM1N","Protein-serine/threonine phosphatase"
"2361","PPP5","Protein-serine/threonine phosphatase"
"2362","PPP6","Protein-serine/threonine phosphatase"
"2363","PPTC7","Protein-serine/threonine phosphatase"
"2364","PTEN","Protein-serine/threonine phosphatase"
"2365","PTPM1","Protein-serine/threonine phosphatase"
"2366","RPAP2","Protein-serine/threonine phosphatase"
"2367","SSH1","Protein-serine/threonine phosphatase"
"2368","SSH2","Protein-serine/threonine phosphatase"
"2369","SSH3","Protein-serine/threonine phosphatase"
"2370","SSU72","Protein-serine/threonine phosphatase"
"2371","UBCP1","Protein-serine/threonine phosphatase"
"2372","PGP","Glycerol-1-phosphatase"
"2373","IMPA1","Inositol-phosphate phosphatase"
"2374","IMPA2","Inositol-phosphate phosphatase"
"2375","IMPA3","Inositol-phosphate phosphatase"
"2376","SAC2","Inositol-phosphate phosphatase"
"2377","PTPM1","Phosphatidylglycerophosphatase"
"2378","NANP","N-acylneuraminate-9-phosphatase"
"2379","PNKP","Polynucleotide 3'-phosphatase"
"2380","MCE1","Polynucleotide 5'-phosphatase"
"2381","I5P2","Phosphoinositide 5-phosphatase"
"2382","INP5E","Phosphoinositide 5-phosphatase"
"2383","OCRL","Phosphoinositide 5-phosphatase"
"2384","SYNJ1","Phosphoinositide 5-phosphatase"
"2385","SYNJ2","Phosphoinositide 5-phosphatase"
"2386","PDP1","[Pyruvate dehydrogenase (acetyl-transferring)]-phosphatase"
"2387","PDP2","[Pyruvate dehydrogenase (acetyl-transferring)]-phosphatase"
"2388","F261","Fructose-2,6-bisphosphate 2-phosphatase"
"2389","F262","Fructose-2,6-bisphosphate 2-phosphatase"
"2390","F263","Fructose-2,6-bisphosphate 2-phosphatase"
"2391","F264","Fructose-2,6-bisphosphate 2-phosphatase"
"2392","TIGAR","Fructose-2,6-bisphosphate 2-phosphatase"
"2393","AUXI","Protein-tyrosine-phosphatase"
"2394","CC14A","Protein-tyrosine-phosphatase"
"2395","CC14B","Protein-tyrosine-phosphatase"
"2396","CC14C","Protein-tyrosine-phosphatase"
"2397","CDKN3","Protein-tyrosine-phosphatase"
"2398","DS13A","Protein-tyrosine-phosphatase"
"2399","DS13B","Protein-tyrosine-phosphatase"
"2400","DUPD1","Protein-tyrosine-phosphatase"
"2401","DUS10","Protein-tyrosine-phosphatase"
"2402","DUS12","Protein-tyrosine-phosphatase"
"2403","DUS14","Protein-tyrosine-phosphatase"
"2404","DUS15","Protein-tyrosine-phosphatase"
"2405","DUS16","Protein-tyrosine-phosphatase"
"2406","DUS18","Protein-tyrosine-phosphatase"
"2407","DUS19","Protein-tyrosine-phosphatase"
"2408","DUS1","Protein-tyrosine-phosphatase"
"2409","DUS21","Protein-tyrosine-phosphatase"
"2410","DUS22","Protein-tyrosine-phosphatase"
"2411","DUS23","Protein-tyrosine-phosphatase"
"2412","DUS26","Protein-tyrosine-phosphatase"
"2413","DUS28","Protein-tyrosine-phosphatase"
"2414","DUS2","Protein-tyrosine-phosphatase"
"2415","DUS3","Protein-tyrosine-phosphatase"
"2416","DUS4","Protein-tyrosine-phosphatase"
"2417","DUS5","Protein-tyrosine-phosphatase"
"2418","DUS6","Protein-tyrosine-phosphatase"
"2419","DUS7","Protein-tyrosine-phosphatase"
"2420","DUS8","Protein-tyrosine-phosphatase"
"2421","DUS9","Protein-tyrosine-phosphatase"
"2422","EPM2A","Protein-tyrosine-phosphatase"
"2423","EYA1","Protein-tyrosine-phosphatase"
"2424","EYA2","Protein-tyrosine-phosphatase"
"2425","EYA3","Protein-tyrosine-phosphatase"
"2426","EYA4","Protein-tyrosine-phosphatase"
"2427","MGDP1","Protein-tyrosine-phosphatase"
"2428","MPIP1","Protein-tyrosine-phosphatase"
"2429","MPIP2","Protein-tyrosine-phosphatase"
"2430","MPIP3","Protein-tyrosine-phosphatase"
"2431","MTMR3","Protein-tyrosine-phosphatase"
"2432","MTMR4","Protein-tyrosine-phosphatase"
"2433","PGP","Protein-tyrosine-phosphatase"
"2434","PPAC","Protein-tyrosine-phosphatase"
"2435","PTEN","Protein-tyrosine-phosphatase"
"2436","PTN11","Protein-tyrosine-phosphatase"
"2437","PTN12","Protein-tyrosine-phosphatase"
"2438","PTN13","Protein-tyrosine-phosphatase"
"2439","PTN14","Protein-tyrosine-phosphatase"
"2440","PTN18","Protein-tyrosine-phosphatase"
"2441","PTN1","Protein-tyrosine-phosphatase"
"2442","PTN20","Protein-tyrosine-phosphatase"
"2443","PTN21","Protein-tyrosine-phosphatase"
"2444","PTN22","Protein-tyrosine-phosphatase"
"2445","PTN23","Protein-tyrosine-phosphatase"
"2446","PTN2","Protein-tyrosine-phosphatase"
"2447","PTN3","Protein-tyrosine-phosphatase"
"2448","PTN4","Protein-tyrosine-phosphatase"
"2449","PTN5","Protein-tyrosine-phosphatase"
"2450","PTN6","Protein-tyrosine-phosphatase"
"2451","PTN7","Protein-tyrosine-phosphatase"
"2452","PTN9","Protein-tyrosine-phosphatase"
"2453","PTPM1","Protein-tyrosine-phosphatase"
"2454","PTPR2","Protein-tyrosine-phosphatase"
"2455","PTPRA","Protein-tyrosine-phosphatase"
"2456","PTPRB","Protein-tyrosine-phosphatase"
"2457","PTPRC","Protein-tyrosine-phosphatase"
"2458","PTPRD","Protein-tyrosine-phosphatase"
"2459","PTPRE","Protein-tyrosine-phosphatase"
"2460","PTPRF","Protein-tyrosine-phosphatase"
"2461","PTPRG","Protein-tyrosine-phosphatase"
"2462","PTPRH","Protein-tyrosine-phosphatase"
"2463","PTPRJ","Protein-tyrosine-phosphatase"
"2464","PTPRK","Protein-tyrosine-phosphatase"
"2465","PTPRM","Protein-tyrosine-phosphatase"
"2466","PTPRO","Protein-tyrosine-phosphatase"
"2467","PTPRQ","Protein-tyrosine-phosphatase"
"2468","PTPRR","Protein-tyrosine-phosphatase"
"2469","PTPRS","Protein-tyrosine-phosphatase"
"2470","PTPRT","Protein-tyrosine-phosphatase"
"2471","PTPRU","Protein-tyrosine-phosphatase"
"2472","PTPRZ","Protein-tyrosine-phosphatase"
"2473","SSH1","Protein-tyrosine-phosphatase"
"2474","SSH2","Protein-tyrosine-phosphatase"
"2475","SSH3","Protein-tyrosine-phosphatase"
"2476","TP4A1","Protein-tyrosine-phosphatase"
"2477","TP4A2","Protein-tyrosine-phosphatase"
"2478","TP4A3","Protein-tyrosine-phosphatase"
"2479","TPTE","Protein-tyrosine-phosphatase"
"2480","UBS3B","Protein-tyrosine-phosphatase"
"2481","PP1B","[Myosin-light-chain] phosphatase"
"2482","I5P1","Inositol-polyphosphate 5-phosphatase"
"2483","INP5K","Inositol-polyphosphate 5-phosphatase"
"2484","PI5PA","Inositol-polyphosphate 5-phosphatase"
"2485","INPP","Inositol-1,4-bisphosphate 1-phosphatase"
"2486","MINP1","Multiple inositol-polyphosphate phosphatase"
"2487","MTM1","Phosphatidylinositol-3-phosphatase"
"2488","MTMR1","Phosphatidylinositol-3-phosphatase"
"2489","MTMR2","Phosphatidylinositol-3-phosphatase"
"2490","MTMR3","Phosphatidylinositol-3-phosphatase"
"2491","INP4A","Phosphatidylinositol-3,4-bisphosphate 4-phosphatase"
"2492","INP4B","Phosphatidylinositol-3,4-bisphosphate 4-phosphatase"
"2493","PTEN","Phosphatidylinositol-3,4,5-trisphosphate 3-phosphatase"
"2494","TPTE2","Phosphatidylinositol-3,4,5-trisphosphate 3-phosphatase"
"2495","PHOP2","Pyridoxal phosphatase"
"2496","PLPP","Pyridoxal phosphatase"
"2497","PHOP1","Phosphoethanolamine/phosphocholine phosphatase"
"2498","HYES","Lipid-phosphate phosphatase"
"2499","ENOPH","Acireductone synthase"
"2500","PP4P1","Phosphatidylinositol-4,5-bisphosphate 4-phosphatase"
"2501","PP4P2","Phosphatidylinositol-4,5-bisphosphate 4-phosphatase"
"2502","MINP1","2,3-bisphosphoglycerate 3-phosphatase"
"2503","SHIP1","Phosphatidylinositol-3,4,5-trisphosphate 5-phosphatase"
"2504","SHIP2","Phosphatidylinositol-3,4,5-trisphosphate 5-phosphatase"
"2505","5NT3A","7-methylguanosine nucleotidase"
"2506","5NT3B","7-methylguanosine nucleotidase"
"2507","IMPA1","D-galactose 1-phosphate phosphatase"
"2508","MTM1","Phosphatidylinositol-3,5-bisphosphate 3-phosphatase"
"2509","MTMR1","Phosphatidylinositol-3,5-bisphosphate 3-phosphatase"
"2510","MTMR2","Phosphatidylinositol-3,5-bisphosphate 3-phosphatase"
"2511","MTMR3","Phosphatidylinositol-3,5-bisphosphate 3-phosphatase"
"2512","HDHD1","Pseudouridine 5'-phosphatase"
"2513","ENPP1","Phosphodiesterase I"
"2514","ENPP3","Phosphodiesterase I"
"2515","FAN1","Phosphodiesterase I"
"2516","GPCP1","Glycerophosphocholine phosphodiesterase"
"2517","PLD1","Phospholipase D"
"2518","PLD2","Phospholipase D"
"2519","PLD3","Phospholipase D"
"2520","PLD4","Phospholipase D"
"2521","GDPD5","Phosphoinositide phospholipase C"
"2522","PLCB1","Phosphoinositide phospholipase C"
"2523","PLCB2","Phosphoinositide phospholipase C"
"2524","PLCB3","Phosphoinositide phospholipase C"
"2525","PLCB4","Phosphoinositide phospholipase C"
"2526","PLCD1","Phosphoinositide phospholipase C"
"2527","PLCD3","Phosphoinositide phospholipase C"
"2528","PLCD4","Phosphoinositide phospholipase C"
"2529","PLCE1","Phosphoinositide phospholipase C"
"2530","PLCG1","Phosphoinositide phospholipase C"
"2531","PLCG2","Phosphoinositide phospholipase C"
"2532","PLCH1","Phosphoinositide phospholipase C"
"2533","PLCH2","Phosphoinositide phospholipase C"
"2534","PLCZ1","Phosphoinositide phospholipase C"
"2535","ASM","Sphingomyelin phosphodiesterase"
"2536","ENPP7","Sphingomyelin phosphodiesterase"
"2537","NSMA2","Sphingomyelin phosphodiesterase"
"2538","NSMA3","Sphingomyelin phosphodiesterase"
"2539","NSMA","Sphingomyelin phosphodiesterase"
"2540","PDE10","3',5'-cyclic-nucleotide phosphodiesterase"
"2541","PDE1A","3',5'-cyclic-nucleotide phosphodiesterase"
"2542","PDE1B","3',5'-cyclic-nucleotide phosphodiesterase"
"2543","PDE1C","3',5'-cyclic-nucleotide phosphodiesterase"
"2544","PDE2A","3',5'-cyclic-nucleotide phosphodiesterase"
"2545","PDE3A","3',5'-cyclic-nucleotide phosphodiesterase"
"2546","PDE3B","3',5'-cyclic-nucleotide phosphodiesterase"
"2547","CNCG","3',5'-cyclic-GMP phosphodiesterase"
"2548","CNRG","3',5'-cyclic-GMP phosphodiesterase"
"2549","PDE10","3',5'-cyclic-GMP phosphodiesterase"
"2550","PDE11","3',5'-cyclic-GMP phosphodiesterase"
"2551","PDE5A","3',5'-cyclic-GMP phosphodiesterase"
"2552","PDE6A","3',5'-cyclic-GMP phosphodiesterase"
"2553","PDE6B","3',5'-cyclic-GMP phosphodiesterase"
"2554","PDE6C","3',5'-cyclic-GMP phosphodiesterase"
"2555","PDE9A","3',5'-cyclic-GMP phosphodiesterase"
"2556","CN37","2',3'-cyclic-nucleotide 3'-phosphodiesterase"
"2557","ENPP6","Glycerophosphocholine cholinephosphodiesterase"
"2558","ENPP2","Alkylglycerophosphoethanolamine phosphodiesterase"
"2559","GDPD1","Alkylglycerophosphoethanolamine phosphodiesterase"
"2560","GDPD2","Glycerophosphoinositol inositolphosphodiesterase"
"2561","GDE1","Glycerophosphoinositol glycerophosphodiesterase"
"2562","NAGPA","N-acetylglucosamine-1-phosphodiester alpha-N-acetylglucosaminidase"
